mininet> h2 ping h3
PING 10.0.0.103 (10.0.0.103) 56(84) bytes of data.
64 bytes from 10.0.0.103: icmp_seq=1 ttl=64 time=34.4 ms
64 bytes from 10.0.0.103: icmp_seq=2 ttl=64 time=0.743 ms
64 bytes from 10.0.0.103: icmp_seq=3 ttl=64 time=0.084 ms
64 bytes from 10.0.0.103: icmp_seq=4 ttl=64 time=0.097 ms
64 bytes from 10.0.0.103: icmp_seq=5 ttl=64 time=0.091 ms
64 bytes from 10.0.0.103: icmp_seq=6 ttl=64 time=0.084 ms
64 bytes from 10.0.0.103: icmp_seq=7 ttl=64 time=0.090 ms
64 bytes from 10.0.0.103: icmp_seq=8 ttl=64 time=0.090 ms
64 bytes from 10.0.0.103: icmp_seq=9 ttl=64 time=0.092 ms
64 bytes from 10.0.0.103: icmp_seq=10 ttl=64 time=0.078 ms
64 bytes from 10.0.0.103: icmp_seq=11 ttl=64 time=0.095 ms
64 bytes from 10.0.0.103: icmp_seq=12 ttl=64 time=0.114 ms
64 bytes from 10.0.0.103: icmp_seq=13 ttl=64 time=0.221 ms
64 bytes from 10.0.0.103: icmp_seq=14 ttl=64 time=0.091 ms
64 bytes from 10.0.0.103: icmp_seq=15 ttl=64 time=0.091 ms
64 bytes from 10.0.0.103: icmp_seq=16 ttl=64 time=0.068 ms
64 bytes from 10.0.0.103: icmp_seq=17 ttl=64 time=0.110 ms
64 bytes from 10.0.0.103: icmp_seq=18 ttl=64 time=0.112 ms
64 bytes from 10.0.0.103: icmp_seq=19 ttl=64 time=0.138 ms
64 bytes from 10.0.0.103: icmp_seq=20 ttl=64 time=0.091 ms
64 bytes from 10.0.0.103: icmp_seq=21 ttl=64 time=0.088 ms
64 bytes from 10.0.0.103: icmp_seq=22 ttl=64 time=0.095 ms
64 bytes from 10.0.0.103: icmp_seq=23 ttl=64 time=0.096 ms
64 bytes from 10.0.0.103: icmp_seq=24 ttl=64 time=0.110 ms
64 bytes from 10.0.0.103: icmp_seq=25 ttl=64 time=0.108 ms
64 bytes from 10.0.0.103: icmp_seq=26 ttl=64 time=0.084 ms
64 bytes from 10.0.0.103: icmp_seq=27 ttl=64 time=0.068 ms
64 bytes from 10.0.0.103: icmp_seq=28 ttl=64 time=0.185 ms
64 bytes from 10.0.0.103: icmp_seq=29 ttl=64 time=0.093 ms
64 bytes from 10.0.0.103: icmp_seq=30 ttl=64 time=0.077 ms
64 bytes from 10.0.0.103: icmp_seq=31 ttl=64 time=0.089 ms
64 bytes from 10.0.0.103: icmp_seq=32 ttl=64 time=0.173 ms
64 bytes from 10.0.0.103: icmp_seq=33 ttl=64 time=0.163 ms
64 bytes from 10.0.0.103: icmp_seq=34 ttl=64 time=0.097 ms
64 bytes from 10.0.0.103: icmp_seq=35 ttl=64 time=0.077 ms
64 bytes from 10.0.0.103: icmp_seq=36 ttl=64 time=0.087 ms
64 bytes from 10.0.0.103: icmp_seq=37 ttl=64 time=0.067 ms
64 bytes from 10.0.0.103: icmp_seq=38 ttl=64 time=0.182 ms
64 bytes from 10.0.0.103: icmp_seq=39 ttl=64 time=0.089 ms
64 bytes from 10.0.0.103: icmp_seq=40 ttl=64 time=0.088 ms
64 bytes from 10.0.0.103: icmp_seq=41 ttl=64 time=0.092 ms
64 bytes from 10.0.0.103: icmp_seq=42 ttl=64 time=0.098 ms
64 bytes from 10.0.0.103: icmp_seq=43 ttl=64 time=0.109 ms
64 bytes from 10.0.0.103: icmp_seq=44 ttl=64 time=0.082 ms
64 bytes from 10.0.0.103: icmp_seq=45 ttl=64 time=0.074 ms
64 bytes from 10.0.0.103: icmp_seq=46 ttl=64 time=0.093 ms
64 bytes from 10.0.0.103: icmp_seq=47 ttl=64 time=0.105 ms
64 bytes from 10.0.0.103: icmp_seq=48 ttl=64 time=0.085 ms
64 bytes from 10.0.0.103: icmp_seq=49 ttl=64 time=0.095 ms
64 bytes from 10.0.0.103: icmp_seq=50 ttl=64 time=0.091 ms
